,FSA,density,poor_building_condition,condo_dwelling,Average_Age,Median_Age,male
0,M1B,1764.25,0.055843835,0.275265629,38.9,38.2,0.47836939
1,M1C,2413.45,0.041259982,0.026619343,42.1,44,0.4902456
2,M1G,3126.42,0.109414758,0.030025445,38.6,37.2,0.48736948
3,M1H,4760.87,0.055991041,0.370660694,39.9,38.1,0.4832889
4,M1J,5700.21,0.114063778,0.191332788,38.1,37.2,0.47615805
5,M1K,5309.84,0.093392807,0.143852802,39.9,40.1,0.48136678
6,M1L,4020.48,0.083400483,0.097541314,38.3,38,0.4851076
7,M1M,2412.93,0.078341014,0.120967742,42.6,44.8,0.4827586
8,M1N,3552.06,0.089010989,0.044505495,43,45.2,0.48125565
9,M1P,3849.76,0.057703927,0.429132668,40.5,39.3,0.47202107
10,M1R,2732.7,0.074861368,0.049907579,41.5,41.9,0.48459476
11,M1S,2777.05,0.047128713,0.374109264,43.4,44.3,0.48292294
12,M1T,5376.37,0.068885449,0.251160991,44,44.6,0.45988145
13,M1V,3655.75,0.041977612,0.254042289,42.3,43,0.4839978
14,M1W,5515.99,0.060419236,0.388717633,44.6,46.3,0.47152877
15,M1X,2031.69,0.024759285,0.026134801,37.1,36.2,0.4905598
16,M2H,3044.88,0.064,0.265142857,44.9,46.3,0.4710204
17,M2J,5497.67,0.062914665,0.34576659,40.3,39,0.47795504
18,M2K,3968.1,0.030660377,0.532075472,42.9,40.4,0.4672956
19,M2L,1819.34,0.047559449,0.098873592,42.6,45,0.47909555
20,M2M,4035.75,0.051282051,0.336589337,43.8,43.5,0.47323638
21,M2N,7581.15,0.036021346,0.682774978,39.9,37,0.46923584
22,M2P,2598.92,0.044554455,0.302479339,43.1,45.8,0.47609943
23,M2R,5475.56,0.075616789,0.202178789,43.4,43.6,0.46439514
24,M3A,4427.58,0.086480363,0.114760287,40,39.9,0.47306082
25,M3B,2203.38,0.039156627,0.210843373,44.7,47.1,0.4771021
26,M3C,3776.12,0.075394322,0.477602524,41.3,40.4,0.46998724
27,M3H,2227.07,0.058658237,0.181243414,40.6,40.1,0.47359177
28,M3J,1849.66,0.075942645,0.272968667,38.1,34.8,0.4977429
29,M3K,3352.19,0.050691244,0.046082949,42.6,42.5,0.48790658
30,M3L,2888.9,0.107944732,0.077720207,41.3,41.3,0.47635525
31,M3M,4589.69,0.099730458,0.133692722,40.5,40.2,0.4739031
32,M3N,6013.5,0.129823296,0.167748918,37,35.2,0.4666349
33,M4A,3057.78,0.062959935,0.247751431,43.8,44.2,0.46348217
34,M4B,3592.17,0.108481262,0.041420118,41.1,41.9,0.4818792
35,M4C,8980.29,0.098537336,0.10312981,39.4,39.4,0.48581183
36,M4E,6419.57,0.079424059,0.062703205,40.1,41.9,0.47774008
37,M4G,2765.13,0.048732943,0.204811443,41,43.3,0.4724843
38,M4H,17007.37,0.136539953,0.096198604,34.1,32.4,0.48895097
39,M4J,6391.81,0.087588772,0.018593644,40.4,40.8,0.48425913
40,M4K,7313.5,0.087285223,0.047062865,41.4,41.5,0.48440716
41,M4L,7035.47,0.09888127,0.080144404,38.9,39.7,0.48590687
42,M4M,2619.47,0.076208178,0.219228983,39.7,38.8,0.5014176
43,M4N,2988.73,0.059205191,0.145174371,42.1,44.1,0.47358122
44,M4P,9398.27,0.057416268,0.184428012,40.8,37.8,0.45484033
45,M4R,5862.34,0.06231454,0.112759644,39.4,39.4,0.47102723
46,M4S,8210.61,0.042537313,0.230223881,41.1,38.8,0.4572722
47,M4T,5949.25,0.055662188,0.219769674,44.4,45,0.45580506
48,M4V,6373.14,0.080719794,0.252956298,44.9,43.8,0.4555921
49,M4W,3076.5,0.049586777,0.476912474,45.3,46.1,0.46943682
50,M4X,17131.8,0.104803493,0.065048544,39.7,38,0.5242555
51,M4Y,29873.03,0.06208312,0.481139338,39.1,34,0.55004925
52,M5A,9558.52,0.090094128,0.439264904,39.3,37,0.5328627
53,M5B,20466.15,0.040701754,0.573735955,36.6,32,0.52796245
54,M5C,9836.51,0.042492918,0.826704545,39.8,36.4,0.51355934
55,M5E,20262.62,0.015761821,0.864154251,40,34.5,0.49945176
56,M5G,12116.69,0.024390244,0.739837398,32.9,29.2,0.4652819
57,M5H,4043.73,0.012048193,0.988,35.8,31.7,0.521197
58,M5J,3309.01,0.020991254,0.9696793,38.5,33.3,0.5087659
59,M5M,4792.9,0.04756871,0.079809725,39.1,41.2,0.47314724
60,M5N,5753.48,0.070552147,0.068303914,39.8,39.9,0.46718845
61,M5P,5640.73,0.06283857,0.144095341,42.7,41.7,0.45133883
62,M5R,8666.73,0.072271914,0.240071556,43.6,39.3,0.47348556
63,M5S,7643.72,0.05339196,0.503768844,39,31.6,0.48731294
64,M5T,11143.43,0.097717964,0.290228204,40.3,34.3,0.48760563
65,M5V,12845.81,0.013346354,0.908528646,34.2,31.4,0.507267
66,M6A,3610.31,0.088819876,0.27515528,40.4,39,0.4352578
67,M6B,5104.79,0.069255966,0.199812822,41.3,40.7,0.46213183
68,M6C,7766.7,0.088825215,0.044412607,40.2,39,0.46981093
69,M6E,7241.08,0.090047393,0.011844332,41.3,40.8,0.48304418
70,M6G,8005.59,0.096533731,0.042862467,41.8,38.2,0.47514415
71,M6H,9196.85,0.077925463,0.090198123,39.5,36.4,0.49510568
72,M6J,10908.53,0.06287227,0.280608868,38.9,35.1,0.4912039
