_id,ID,NAME,ADDRESS,ADDRESS_POINT_ID,ADDRESS_ID,CENTRELINE_ID,MAINT_STAGE,ADDRESS_NUMBER,LINEAR_NAME_FULL,POSTAL_CODE,GENERAL_USE,CLASS_FAMILY_DESC,ADDRESS_ID_LINK,PLACE_NAME,X,Y,LATITUDE,LONGITUDE,WARD_NAME,MUNICIPALITY_NAME,OBJECTID,geometry
1,21,FIRE STATION 211,900 TAPSCOTT RD,4236992,363382,4236991,REGULAR,900,Tapscott Rd,,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",,"Fire Station 211, Ambulance Station 27",,,,,Scarborough North (23),Scarborough,1520443,"{u'type': u'Point', u'coordinates': (-79.2428700354, 43.8239927252)}"
2,60,FIRE STATION 342,106 ASCOT AVE,764237,70190,1140634,REGULAR,106,Ascot Ave,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 342,,,,,Davenport (9),former Toronto,1541526,"{u'type': u'Point', u'coordinates': (-79.4486262605, 43.6793661319)}"
3,61,FIRE STATION 343,65 HENDRICK AVE,819425,127148,1140587,REGULAR,65,Hendrick Ave,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 343,,,,,Toronto-St. Paul's (12),former Toronto,1543317,"{u'type': u'Point', u'coordinates': (-79.4307521573, 43.6801051518)}"
4,55,FIRE STATION 332,260 ADELAIDE ST W,12763904,484214,12763900,REGULAR,260,Adelaide St W,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 332 & South Command Offc,,,,,Spadina-Fort York (10),former Toronto,1558261,"{u'type': u'Point', u'coordinates': (-79.3895641903, 43.648306534)}"
5,24,FIRE STATION 214,745 MEADOWVALE RD,6349868,357277,6349869,REGULAR,745,Meadowvale Rd,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 214,,,,,Scarborough-Rouge Park (25),Scarborough,1567567,"{u'type': u'Point', u'coordinates': (-79.1636016042, 43.7942107669)}"
6,74,FIRE STATION 426,140 LANSDOWNE AVE,10757599,157562,14674741,REGULAR,140,Lansdowne Ave,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 426,,,,,Parkdale-High Park (4),former Toronto,1578612,"{u'type': u'Point', u'coordinates': (-79.4388667128, 43.6450864408)}"
7,70,FIRE STATION 422,590 JANE ST,7027887,48627,20004277,REGULAR,590,Jane St,,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",,"Fire Station 422, Ambulance Station 31N",,,,,Parkdale-High Park (4),York,1605282,"{u'type': u'Point', u'coordinates': (-79.4909411711, 43.6644021871)}"
8,34,FIRE STATION 232,1550 MIDLAND AVE,2820826,299783,2820380,REGULAR,1550,Midland Ave,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 232,,,,,Scarborough Centre (21),Scarborough,1657015,"{u'type': u'Point', u'coordinates': (-79.2668510713, 43.7549669456)}"
9,7,FIRE STATION 121,10 WILLIAM CARSON CRES,4792285,416944,13971133,REGULAR,10,William Carson Cres,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 121,,,,,Don Valley West (15),North York,1662173,"{u'type': u'Point', u'coordinates': (-79.4067807495, 43.7485400772)}"
10,66,FIRE STATION 412,267 HUMBERLINE DR,7063061,473220,7063044,REGULAR,267,Humberline Dr,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 412,,,,,Etobicoke North (1),Etobicoke,1662239,"{u'type': u'Point', u'coordinates': (-79.6176378075, 43.7381082894)}"
