from Census of Canada, 2016: cartographic boundary file at the FSA level,,
CFSAUID,PRUID,PRNAME,Area Sq Km
B1E,12,Nova Scotia / Nouvelle-Écosse,5.201865916
B1G,12,Nova Scotia / Nouvelle-Écosse,6.441482684
B1H,12,Nova Scotia / Nouvelle-Écosse,56.25705594
B1J,12,Nova Scotia / Nouvelle-Écosse,293.7791791
B1K,12,Nova Scotia / Nouvelle-Écosse,875.0120195
B1L,12,Nova Scotia / Nouvelle-Écosse,196.1958842
B1M,12,Nova Scotia / Nouvelle-Écosse,51.47808007
B1N,12,Nova Scotia / Nouvelle-Écosse,60.84030894
B1P,12,Nova Scotia / Nouvelle-Écosse,46.1973051
B1R,12,Nova Scotia / Nouvelle-Écosse,27.48101781
B1S,12,Nova Scotia / Nouvelle-Écosse,16.71070679
B1T,12,Nova Scotia / Nouvelle-Écosse,188.6737132
B1V,12,Nova Scotia / Nouvelle-Écosse,12.68488019
A1G,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10.88570472
A1H,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,165.1480022
A1K,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,90.79565061
A1L,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,32.42441858
A1M,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,66.98319076
A1N,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,16.00213105
A1S,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,173.9838814
A0A,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,4700.530957
A0B,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,5530.376314
A0C,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,3530.041262
A0E,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,6182.483546
A0G,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,17147.27233
A0H,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,19944.31119
A0J,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1919.465365
A0K,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,62409.66378
A0L,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1566.579364
A0M,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,3808.978511
A0N,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,13073.52687
A0P,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,163599.9342
A0R,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,81089.95476
