,min_dist_to_hydrant
F18020956,23.474074061605812
F18020969,57.051513471921005
F18021182,17.296317774530852
F18021192,30.401740050838765
F18021271,7.317946634466636
F18021274,56.3370004009009
F18021633,40.42572421954478
F18021837,59.991393901635966
F18021221,29.291411568085593
F18021565,16.74111760444803
F18021628,41.403384178436596
F18021629,11.34720081100518
F18021639,13.79585176202234
F18023219,21.29046460764683
F18023270,13.362077006850813
F18023312,31.97732861433868
F18023350,37.071948853452874
F18023361,39.535006087503014
F18023371,46.2320528470449
F18023381,40.99146355863981
F18023390,40.628844854272124
F18023394,10.033764693565322
F18023435,37.41475715262587
F18023440,26.312679266358707
F18001589,39.53244488795716
F18002055,22.03785641513657
F18002491,15.069473113735755
F18003786,44.254943372851294
F18003803,17.625955144754702
F18003864,17.625955144754702
F18004096,11.765404416755592
F18004527,14.988143250600794
F18004704,9.876069235504971
F18004745,12.369603785802996
F18004816,38.79229933877602
F18005091,15.965199070980125
F18005176,53.838222122092226
F18005660,35.62883072412235
F18006158,9.945538173870778
F18006306,25.825268133539314
F18006309,32.2677735705089
F18006802,33.1642756937736
F18027883,14.59058039883259
F18027890,18.390116191944642
F18027895,35.74913008510495
F18027914,14.391116581379764
F18027935,16.314089995781902
F18027940,52.41624426837537
F18028037,32.63121803431775
F18028121,35.62883072412235
F18028199,23.9040390585932
F18028238,19.466481625083638
F18017574,25.18654166745678
F18055833,18.699952772263458
F18030010,27.728669362973864
F18029417,35.24599996484373
F18029476,21.07769906188617
F18029501,16.23362902591019
F18029557,24.220335879067097
F18014988,57.45042172952054
F18015006,57.45042172952054
F18009288,31.121842342603493
F18009449,21.94976143930851
F18009549,69.91049874643527
F18009668,12.203927702140126
F18062288,17.755882054341303
F18013074,25.344117560771608
F18013133,27.312411469576848
F18013140,51.441420376796316
F18013187,23.714250686844853
F18013290,13.798337447480304
F18010586,27.244061681943112
F18013387,23.04887515796406
F18013449,51.441420376796316
F18013491,16.749880503964928
F18006804,30.996381785856475
F18006977,20.381334724042432
F18006978,21.972498406049784
F18007855,32.28843920372172
F18007996,33.173025376140075
F18008244,17.127097957696545
F18008569,11.072213398662097
F18008739,46.68989582370955
F18072393,26.24934681996654
F18072399,55.26238610558813
F18032079,42.58598609654563
F18032087,20.093599287344585
F18032214,54.204086594758365
F18032227,40.488989199021695
F18032234,13.896515423663466
F18032281,12.178608870266086
F18032288,16.40593602809203
F18032354,12.015127620896394
F18032362,52.63863851898986
F18032366,41.401943355066805
F18032424,14.326240300426534
F18032500,14.166276919446439
F18032535,25.578000432239847
F18000545,30.55973406272892
F18000674,14.375089920343978
F18000727,16.034502030082642
F18000797,11.511008628073494
F18001069,18.27588785388413
F18001251,31.742449065699617
F18001885,51.06187380947971
F18002583,18.34701066112752
F18008050,14.682738075137104
F18008794,23.992562810265035
F18005568,19.60446817732387
F18005813,48.14082903941044
F18015515,14.383600554057276
F18015319,85.4418903979308
F18015334,24.451668817324286
F18015366,14.271735143926351
F18015436,12.123070381207382
F18016249,39.284781826768594
F18016269,13.575438426495584
F18017596,52.80396671987374
F18017623,35.804500402847076
F18017638,42.326726092757575
F18017683,45.18408978869953
F18017836,234.57840359870517
F18017849,37.84714998714596
F18017887,21.447559809453995
F18018006,14.871886262995169
F18018051,18.882598945790257
F18018102,32.35836329977797
F18018450,15.288329732215702
F18018103,18.83873219247529
F18018132,16.009230981733875
F18018178,22.272625245186628
F18018315,53.82285346740223
F18018339,16.15630228150172
F18018375,12.453854975619892
F18018465,13.330583621705474
F18018536,33.308350555892524
F18018563,22.622790178241647
F18018803,25.682096588838068
F18019203,20.768874666596634
F18018792,20.7310987991372
F18018820,52.71206125915128
F18018838,18.842066045457667
F18019021,17.77296704803763
F18019092,66.6607719746272
F18019112,30.24615713422299
F18024481,22.55836863558504
F18024529,21.35070535374815
F18024615,13.539846541275045
F18024630,27.312411469576848
F18024680,18.788426826242233
F18024751,28.86153967125788
F18024864,17.661519645824537
F18024906,42.760148615004255
F18024928,70.98551248584037
F18024956,9.657298227238533
F18087039,25.853947365520693
F18026506,43.17050008577742
F18026524,15.985730277025363
F18026552,20.327675459512538
F18026619,24.599965667363005
F18026639,18.23161761907378
F18026772,43.91347073208572
F18026783,45.361652634427415
F18026785,18.53524684014342
F18026792,73.43872351863862
F18026797,31.445136348748196
F18026809,38.479570812598325
F18024961,52.508500998751565
F18024997,26.411150161822604
F18025014,24.999875105617395
F18025031,32.014117142371305
F18025054,30.401740050838765
F18025156,40.35773333225664
F18025197,14.271735143926351
F18025255,20.61262553147845
F18025335,16.125448552443927
F18092684,76.84893408323002
F18034661,55.888137989650545
F18034678,47.28431639498895
F18034682,107.34329230635828
F18034706,98.97319572215271
F18034737,30.828223185431444
F18034792,38.09151370813356
F18034914,30.65089857229258
F18034953,234.57840359870517
F18034988,166.69786659466538
F18035004,40.3781582886587
F18035051,14.69396469574855
F18129439,47.45444981433791
F19039928,22.728279366033366
F18021647,21.23124125752419
F18021674,22.867449742578412
F18021675,43.98048357797239
F18021711,17.625955144754702
F18021776,20.77448859989034
F18021840,221.9883465833869
F18021848,30.71630410547944
F18021851,18.72854342297379
F18006917,18.410198379349765
F18026117,48.26278776771407
F18007022,34.099011187083335
F18007133,17.868309987973518
F18007195,19.90676336649528
F18007380,8.846166549527082
F18008333,19.375150211528535
F18009415,51.519860256288126
F18007879,27.680203137609677
F18007929,409.98972333238635
F18008100,32.00304138347226
F18008250,141.10289498092428
F18008282,27.65993398645995
F18008377,48.6688302754966
F18008606,34.13641235580846
F18008882,23.82198136425185
F18023519,51.1123192081559
F18023552,24.672053990706534
F18023576,27.834995881918797
F18023609,22.483835542345403
F18023626,32.06463895401371
F18023851,20.073178768703567
F18023750,24.671443334544787
F18023774,10.803956649076381
F18023818,28.4398781396281
F18023840,12.123070381207382
F18003858,24.62875860895475
F18010057,52.4298529048051
F18000499,19.579229211004368
F18019184,31.341726148072247
F18019266,10.98496960176377
F18019307,5.931248292437317
F18019549,28.291830069310976
F18019327,15.166573789088991
F18019500,20.126763073815532
F18019543,20.103447204355874
F18019635,24.1180088859131
F18026125,17.45875646949545
F18026129,39.79838087318066
F18026133,30.139670230442444
F18026152,27.036285492284737
F18026185,37.83049805573333
F18026213,47.117865134895496
F18026273,23.947964906074997
F18026403,30.379949877709265
F18026481,18.54419243093102
F18026504,11.072213398662097
F19050899,49.311137345749096
F19060152,115.54962733299439
F18003369,13.726619725406154
F18004188,32.64087650569999
F18004881,20.629787332019387
F18001453,12.335373064919844
F18002111,15.444095988688876
F18002329,15.565452657423618
F18002338,15.216342391080785
F18002352,11.236082050778473
F18028275,9.306010500871865
F18028336,17.967181208984368
F18028383,21.20356065611376
F18028384,12.178608870266086
F18028462,19.592837477572758
F18028512,25.927332007107104
F18028517,43.84472619337796
F18028550,28.175124564723788
F18028589,8.709319953202451
F18041484,52.59756900680444
F18041784,29.36712952063902
F18036184,26.972821184138887
F18036281,9.876069235504971
F18036283,43.203988263348464
F18036303,31.426546471297353
F18036332,70.85685316084829
F18036421,10.64193830063496
F18036433,19.280430023786923
F18036591,48.504956822809916
F18036650,119.88807606932757
F18036653,16.233017028738352
F18036676,107.34329230635828
F18036711,44.33003929466269
F18010081,36.57746523459766
F18012148,7.02268022414284
F18011848,1841.0597126255177
F18011963,18.105478263908786
F18012173,25.792610082344865
F18012236,15.21047555076447
F18012267,27.832745724064665
F18011952,37.646430890345485
F18011877,39.37423081824222
F18086776,50.33150190176388
F19059651,24.671443334544787
F18026856,21.2101583003197
F18026872,20.126763073815532
F18027209,16.557214375459903
F18026890,27.728669362973864
F18033366,17.47318832850538
F18033417,29.221944452086024
F18033438,28.102504669474957
F18033532,14.400544225839688
F18033556,16.491964529351545
F18033562,27.036285492284737
F18033574,17.314219236480053
F18033669,21.30521222314842
F18013587,16.749880503964928
F18013656,16.216658178191533
F18013668,26.547858756035634
F18010546,61.25326939842017
F18010490,5.931248292437317
F18010409,19.59656685291664
F18010376,56.15590696015935
F18010368,34.21403934192256
F18010357,31.48485736861525
F18010330,23.505137966868386
F18087313,43.7527180007903
F18087340,112.4815045512942
F18086746,40.760593584995206
F18038584,17.760667640194583
F18038708,40.05224710296958
F18038717,21.807862499523836
F18039146,27.821750389872054
F18039162,57.16488532149781
F18039351,14.18543082048044
F18039664,50.022833729448124
F18039498,48.63300734179989
F18041835,28.40286343131489
F18008768,46.27975103755668
F18008972,39.939508328974426
F18008993,23.03083581922927
F18009060,259.1090921196755
F18009173,25.427758055904942
F18009240,10.679926887850312
F18029599,16.508566720545343
F18029790,32.084615781508354
F18029798,20.235163998811995
F18029846,22.737314287148163
F18015533,36.212823071719384
F18015597,26.954464369099966
F18015572,13.918097982713034
F18015605,42.410437732204976
F18015606,18.390116191944642
F18015842,25.941787829443257
F18015981,34.014231951323154
F18016019,21.199305749243777
F18016021,45.361652634427415
F18016518,41.2231073384158
F18016244,17.442153634965663
F18032565,57.43322785125178
F18032575,37.129825674936725
F18032645,26.100724726907092
F18032683,43.84920767206412
F18032698,22.94438006352837
F18032797,40.89017827667819
F18032827,16.939385387915664
F18032909,40.068352683586944
F18032993,13.584038706985856
F18033182,15.59367982759527
F18033204,26.522494851313418
F18033289,9.790016817435877
F18033210,15.741175345184594
F18033216,30.057523114397792
F18033217,42.83942919726016
F18033224,32.79311156155032
F18040941,26.542053425457418
F18041011,27.93898569405489
F18041083,46.89302041328468
F18041090,17.985715908729208
F18041093,52.117319830349885
F18041095,30.65089857229258
F18041105,40.20210988151933
F18041116,30.65089857229258
F18041147,18.249365690807224
F18041181,48.65140940987248
F18041237,395.3818248417053
F18041359,32.374912100443076
F18021875,14.978142104994669
F18021920,46.34287182621718
F18021926,28.160889725488836
F18021935,21.568262011389194
F18021958,26.810531681955663
F18021965,36.906288225023836
F18021974,45.124495439527664
F18021983,37.920721114146616
F18021985,31.63089214074269
F18022018,38.887355870771735
F18022035,15.853515698586813
F18022047,21.8842091289677
F18009179,15.677249468393232
F18009524,13.755032971206562
F18004426,12.612372574704352
F18005424,26.045279740532308
F18006613,17.978936174398793
F18007699,24.999875105617395
F18004085,37.19126446532558
F18008308,9.915126130392974
F18000367,16.153500496230865
F18000860,107.34329230635828
F18001167,11.121976645264136
F18003109,18.53524684014342
F18003626,49.040280854179215
F18004545,159.51551694729994
F18005890,26.970051105438625
F18001210,31.913999546694377
F18001558,41.25325007765407
F18009659,17.22135767717034
F18026908,28.64284259336366
F18027504,32.64277889998731
F18026938,21.42981932885667
F18026955,31.588667176221293
F18026978,27.82341852124048
F18027009,261.0472089504639
F18027040,29.515953855619067
F18027103,15.29929507369878
F18027137,47.310772287882294
F18027138,17.625955144754702
F18041771,32.79311156155032
F18059167,34.90132305267892
F18028647,13.150034228672126
F18028651,22.55836863558504
F18028666,26.738675683067523
F18028676,17.89475697548947
F18028725,46.89302041328468
F18028762,16.58279394812443
F18028932,47.623815888477964
F18029142,59.125569693238084
F18029364,32.58612956064639
F18067015,17.073435582380515
F18011781,22.81476859752664
