,Incident_Numberinc_,t0,t1,t2,t3,t4
0,F17039755,0.5146845,0.15983605,0.028583948,0.028623171,0.2682723
1,F18134861,0.70325893,0.033333495,0.03338375,0.1966905,0.033333343
2,F13046589,0.04024538,0.40431088,0.04015708,0.040157866,0.4751288
3,F13104454,0.040417675,0.04000282,0.04032505,0.8380763,0.041178122
4,F18062211,0.700119,0.033333857,0.1998646,0.033348884,0.033333655
5,F11161591,0.88518155,0.02857456,0.028662384,0.0286597,0.028921798
6,F13058678,0.013524181,0.01337065,0.45316544,0.50630677,0.013632947
7,F17093622,0.028664662,0.02857218,0.028812997,0.4979557,0.41599444
8,F18060579,0.10001332,0.10000001,0.10014246,0.5998442,0.10000002
9,F16116363,0.10002989,0.5998777,0.100083016,0.10000569,0.10000373
10,F15098883,0.022240557,0.4490623,0.4842346,0.022238487,0.02222403
11,F16102892,0.64978534,0.15057819,0.02500972,0.025018817,0.14960797
12,F15001638,0.8856221,0.028598774,0.028597735,0.028582314,0.028599052
13,F16083202,0.040033378,0.2154342,0.040001545,0.24107516,0.46345577
14,F12124263,0.028573984,0.4604616,0.028583482,0.028830167,0.4535508
15,F18090283,0.03333722,0.03340083,0.033377685,0.8665495,0.03333482
16,F12125197,0.040402588,0.0400028,0.8381761,0.040291674,0.041126873
17,F18007490,0.8989487,0.025009349,0.025145033,0.025194809,0.025702082
18,F16044687,0.45084265,0.028572638,0.028724395,0.028713968,0.46314633
19,F18076641,0.020006647,0.02001821,0.8345887,0.10444627,0.020940192
20,F17096825,0.8851838,0.028574562,0.028662384,0.028659698,0.028919563
21,F16060817,0.100623414,0.59879214,0.100109294,0.10004996,0.10042523
22,F18032079,0.02894647,0.028584646,0.8834902,0.02904083,0.029937875
23,F17025202,0.020001387,0.020001624,0.020016097,0.9199136,0.020067308
24,F17096280,0.020106511,0.020000417,0.7286703,0.020057868,0.21116488
25,F15041244,0.01428816,0.014286262,0.6812276,0.27587995,0.014318049
26,F14086584,0.7324484,0.06698801,0.06687369,0.066752456,0.066937394
27,F16040754,0.34534177,0.016667226,0.0167124,0.41712293,0.20415567
28,F15112598,0.18551236,0.26986372,0.04000457,0.04000524,0.46461406
29,F17103429,0.020094391,0.020985559,0.020055188,0.02005072,0.9188142
30,F15001039,0.033425797,0.86655015,0.03335375,0.03333648,0.03333384
31,F16080877,0.0333407,0.8666128,0.033357386,0.033334624,0.033354495
